# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 46459387386
#
# Overhead       Samples  Command      Shared Object         Symbol                                      
# ........  ............  ...........  ....................  ............................................
#
     0.08%             5  python       libc.so.6             [.] _int_free
     0.08%             3  python       libcrypto.so.3        [.] 0x00000000001ac9db
     0.07%             3  python       python3.10            [.] slice_dealloc.lto_priv.0
     0.07%             4  python       python3.10            [.] func_traverse.lto_priv.0
     0.07%             3  python       python3.10            [.] method_vectorcall_VARARGS.lto_priv.0
     0.07%             3  python3      python3.10            [.] _PyEval_EvalFrameDefault
     0.07%             3  python       python3.10            [.] PyObject_GC_Del
     0.07%             3  python       python3.10            [.] tuplehash.lto_priv.0
     0.06%             3  python       libc.so.6             [.] __memset_avx2_unaligned_erms_rtm
     0.06%             3  python       python3.10            [.] PyUnicode_FromFormatV
     0.06%             3  python       python3.10            [.] method_vectorcall
     0.06%             3  python       libc.so.6             [.] _int_malloc
     0.06%             4  python       python3.10            [.] list_traverse.lto_priv.0
     0.06%             2  python       python3.10            [.] property_descr_get.lto_priv.0
     0.06%             2  python       python3.10            [.] 0x00000000000709b0
     0.06%             2  python       python3.10            [.] type_vectorcall.lto_priv.0
     0.06%             2  python       python3.10            [.] PyNumber_InPlaceAdd
     0.06%             2  python       python3.10            [.] PyObject_IsTrue
     0.05%             3  python       python3.10            [.] type_getattro.lto_priv.0
     0.05%             2  python       libcrypto.so.3        [.] OPENSSL_sk_num
     0.05%             2  python       libcrypto.so.3        [.] 0x00000000001c286e
     0.05%             2  python       libcrypto.so.3        [.] OPENSSL_sk_value
     0.05%             4  python       python3.10            [.] PyLong_FromString
     0.05%             2  python       libc.so.6             [.] __strcmp_avx2_rtm
     0.05%             2  python       python3.10            [.] subtype_traverse.lto_priv.0
     0.05%             2  python       python3.10            [.] _PyObject_LookupSpecial
     0.05%             2  python       python3.10            [.] method_vectorcall_NOARGS.lto_priv.0
     0.05%             3  python       python3.10            [.] code_dealloc.lto_priv.0
     0.05%             2  python       python3.10            [.] astfold_expr.lto_priv.0
     0.05%             2  python       libcrypto.so.3        [.] OPENSSL_strcasecmp
     0.05%             2  python       libcrypto.so.3        [.] 0x00000000001c2898
     0.05%             2  python3      python3.10            [.] insertdict.lto_priv.0
     0.05%             2  python       python3.10            [.] insert_to_emptydict.lto_priv.0
     0.05%             2  python       python3.10            [.] PyDict_New
     0.05%             2  python       python3.10            [.] _PyUnicode_JoinArray
     0.05%             2  python       python3.10            [.] dictiter_iternextitem.lto_priv.0
     0.05%             2  python       python3.10            [.] term_raw
     0.05%             2  python       python3.10            [.] tok_get.lto_priv.0
     0.05%             2  python       python3.10            [.] gen_iternext.lto_priv.0
     0.05%             2  lsb_release  python3.10            [.] _PyEval_EvalFrameDefault
     0.05%             2  python       python3.10            [.] lookdict.lto_priv.0
     0.04%             2  python3      python3.10            [.] gc_collect_main.lto_priv.0
     0.04%             3  python       python3.10            [.] type_traverse.lto_priv.0
     0.04%             2  python       python3.10            [.] PyDict_GetItemWithError
     0.04%             2  python3      python3.10            [.] lookdict_unicode_nodummy.lto_priv.0
     0.04%             2  python3      python3.10            [.] _PyObject_GenericGetAttrWithDict
     0.04%             2  python       python3.10            [.] _PyPegen_fill_token
     0.04%             2  python       ld-linux-x86-64.so.2  [.] do_lookup_x
     0.04%             2  python       python3.10            [.] unicode_subscript.lto_priv.0
     0.04%             2  python       python3.10            [.] meth_traverse.lto_priv.0
     0.04%             2  python       python3.10            [.] gc_traverse.lto_priv.0
     0.04%             2  python       python3.10            [.] convertsimple.lto_priv.0
     0.03%             2  python       python3.10            [.] intern_string_constants
     0.03%             2  python       python3.10            [.] list_iter.lto_priv.0
     0.03%             2  python       libc.so.6             [.] __strncmp_avx2_rtm
     0.03%             2  python3      python3.10            [.] update_one_slot.lto_priv.0
     0.03%             3  python3      python3.10            [.] deduce_unreachable
     0.03%             2  python       python3.10            [.] PyUnicode_InternInPlace
     0.03%             2  python3      libc.so.6             [.] __memset_avx2_unaligned_erms_rtm
     0.03%             2  python       python3.10            [.] func_dealloc.lto_priv.0
     0.03%             2  python       python3.10            [.] dict_dealloc.lto_priv.0
     0.03%             2  python3      python3.10            [.] visit_reachable.lto_priv.0
     0.03%             1  python       python3.10            [.] list_resize.lto_priv.0
     0.03%             1  python       python3.10            [.] cell_dealloc.lto_priv.0
     0.03%             1  python       python3.10            [.] PyNumber_Multiply
     0.03%             1  python       python3.10            [.] get_latin1_char.lto_priv.0
     0.03%             1  python       python3.10            [.] builtin_len.lto_priv.0
     0.03%             1  python       python3.10            [.] PySlice_AdjustIndices
     0.03%             1  python       python3.10            [.] _PyObject_Free.lto_priv.0
     0.03%             1  python       python3.10            [.] list_extend.lto_priv.0
     0.03%             1  uname        libc.so.6             [.] _IO_file_underflow@@GLIBC_2.2.5
     0.03%             1  python       python3.10            [.] cfunction_vectorcall_O.lto_priv.0
     0.03%             1  python       libcrypto.so.3        [.] 0x000000000018d475
     0.03%             1  python       libcrypto.so.3        [.] 0x00000000000ba5ff
     0.03%             1  python       libcrypto.so.3        [.] 0x00000000001c2855
     0.03%             1  python       libcrypto.so.3        [.] 0x000000000023f913
     0.03%             1  python       libcrypto.so.3        [.] ASN1_tag2bit
     0.03%             1  python       libcrypto.so.3        [.] 0x000000000018c233
     0.03%             1  lsb_release  ld-linux-x86-64.so.2  [.] strcmp
     0.03%             1  python       libcrypto.so.3        [.] 0x00000000000b7026
     0.03%             1  python       libcrypto.so.3        [.] 0x0000000000255580
     0.03%             1  python       libcrypto.so.3        [.] 0x00000000000cc006
     0.03%             1  python       libcrypto.so.3        [.] OBJ_obj2nid
     0.03%             1  python       libcrypto.so.3        [.] 0x00000000000cf36d
     0.03%             1  python       python3.10            [.] bitwise_and_rule
     0.03%             1  lsb_release  python3.10            [.] PyMem_Free
     0.03%             1  python       python3.10            [.] getset_get.lto_priv.0
     0.03%             1  python       libcrypto.so.3        [.] CRYPTO_get_ex_data
     0.03%             1  python3      python3.10            [.] _PyEval_MakeFrameVector
     0.03%             1  python       libc.so.6             [.] __strchr_avx2_rtm
     0.03%             1  python3      python3.10            [.] r_object
     0.03%             1  python       python3.10            [.] dict_subscript.lto_priv.0
     0.02%             1  python3      python3.10            [.] _PyFunction_Vectorcall
