# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 44838591919
#
# Overhead       Samples  Command      Shared Object                          Symbol                                        
# ........  ............  ...........  .....................................  ..............................................
#
     0.14%             5  python       python3.10                             [.] long_to_decimal_string
     0.14%             5  python       _json.cpython-310-x86_64-linux-gnu.so  [.] encoder_new
     0.14%             6  python       python3.10                             [.] _PyDict_GetItem_KnownHash
     0.14%             5  python       python3.10                             [.] subtype_traverse
     0.13%             5  python       python3.10                             [.] cfunction_vectorcall_FASTCALL
     0.13%             5  python       python3.10                             [.] PyType_IsSubtype
     0.13%             5  python       python3.10                             [.] _PyObject_GC_Malloc
     0.13%             5  python       python3.10                             [.] PyErr_Occurred
     0.13%             5  python       python3.10                             [.] dict_traverse
     0.12%             5  python       python3.10                             [.] _PyUnicode_FromUCS1
     0.12%             5  python       python3.10                             [.] ascii_decode
     0.12%             5  python       python3.10                             [.] _copy_characters.part.0.constprop.0.isra.0
     0.11%             4  python       python3.10                             [.] delitem_common
     0.11%             4  python       _json.cpython-310-x86_64-linux-gnu.so  [.] _encoded_const
     0.11%             4  python       python3.10                             [.] PyDict_SetItem
     0.11%             4  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x00000000000037b0
     0.11%             4  python       libc.so.6                              [.] _int_free
     0.11%             4  python       python3.10                             [.] PyUnicode_Join
     0.11%             4  python       python3.10                             [.] PyDescr_IsData
     0.11%             4  python       python3.10                             [.] method_vectorcall
     0.11%             4  python       python3.10                             [.] _PyDict_GetItemIdWithError
     0.11%             4  python       python3.10                             [.] float_dealloc
     0.11%             4  python       _json.cpython-310-x86_64-linux-gnu.so  [.] encoder_call
     0.11%             4  python       python3.10                             [.] PyObject_Free
     0.11%             4  python       python3.10                             [.] allocate_from_new_pool
     0.11%             4  python       python3.10                             [.] code_dealloc
     0.10%             4  python       python3.10                             [.] func_dealloc
     0.10%             4  python       python3.10                             [.] long_richcompare
     0.10%             4  python       python3.10                             [.] type_ready
     0.08%             3  python       python3.10                             [.] PyCFunction_GetFunction
     0.08%             3  python       python3.10                             [.] rangeiter_next
     0.08%             3  python       python3.10                             [.] PyArg_ParseTupleAndKeywords
     0.08%             3  python       python3.10                             [.] PyObject_GenericGetAttr
     0.08%             3  python       python3.10                             [.] PyDict_New
     0.08%             3  python       python3.10                             [.] PyObject_IsTrue
     0.08%             3  python       python3.10                             [.] _PyNumber_Index
     0.08%             4  python3      python3.10                             [.] gc_collect_main
     0.08%             3  python       python3.10                             [.] object_recursive_isinstance
     0.08%             3  python       python3.10                             [.] wrapperdescr_get
     0.07%             3  python       python3.10                             [.] vgetargs1_impl
     0.07%             3  python       python3.10                             [.] cfunction_vectorcall_O
     0.07%             3  python       python3.10                             [.] PyDict_SetDefault
     0.07%             3  python       python3.10                             [.] _PyPegen_is_memoized
     0.07%             3  python       python3.10                             [.] PyUnicode_RichCompare
     0.06%             2  python       python3.10                             [.] 0x000000000005ac24
     0.06%             2  python       python3.10                             [.] find_empty_slot
     0.06%             2  python       python3.10                             [.] builtin_isinstance
     0.06%             2  python       python3.10                             [.] _PyAccu_Init
     0.06%             2  python       _json.cpython-310-x86_64-linux-gnu.so  [.] encoder_listencode_list.isra.0
     0.06%             2  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003604
