# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 51709665707
#
# Overhead       Samples  Command      Shared Object                          Symbol                                        
# ........  ............  ...........  .....................................  ..............................................
#
     0.12%             5  python       python3.10                             [.] _PyDict_GetItemIdWithError
     0.12%             5  python       python3.10                             [.] PyObject_IsInstance
     0.12%             5  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003550
     0.12%             7  python       python3.10                             [.] intern_string_constants
     0.12%             5  python       python3.10                             [.] object_dealloc
     0.12%             6  python       python3.10                             [.] func_clear
     0.12%             5  python       python3.10                             [.] object_recursive_isinstance
     0.12%             6  python       python3.10                             [.] PyCode_NewWithPosOnlyArgs
     0.11%             5  python       python3.10                             [.] PyLong_AsSsize_t
     0.11%             5  python       python3.10                             [.] PyDict_Contains
     0.11%             5  python       libc.so.6                              [.] cfree@GLIBC_2.2.5
     0.11%             5  python       python3.10                             [.] tupletraverse
     0.10%             6  python       python3.10                             [.] func_traverse
     0.10%             5  python       python3.10                             [.] subtype_traverse
     0.10%             4  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003780
     0.10%             4  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x00000000000034e0
     0.10%             4  python       python3.10                             [.] PyArg_ParseTupleAndKeywords
     0.10%             4  python       python3.10                             [.] func_descr_get
     0.10%             4  python       python3.10                             [.] float_neg
     0.10%             4  python       python3.10                             [.] _PyAccu_FinishAsList
     0.10%             4  python       python3.10                             [.] dictresize
     0.10%             4  python       python3.10                             [.] method_vectorcall
     0.10%             4  python       python3.10                             [.] PyObject_Hash
     0.09%             4  python       python3.10                             [.] 0x000000000005ac20
     0.09%             4  python       libc.so.6                              [.] malloc
     0.09%             4  python       python3.10                             [.] _PyObjectDict_SetItem
     0.09%             6  python       python3.10                             [.] _PyTuple_MaybeUntrack
     0.08%             4  python       python3.10                             [.] PyObject_IS_GC
     0.08%             4  python       python3.10                             [.] PyUnicode_FromFormatV
     0.08%             4  python       python3.10                             [.] PyLong_FromSsize_t
     0.07%             4  python3      python3.10                             [.] gc_collect_main
     0.07%             3  python       _json.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000003554
     0.07%             3  python       python3.10                             [.] PyMapping_Items
     0.07%             3  python       python3.10                             [.] 0x00000000000597f0
     0.07%             3  python       python3.10                             [.] PyUnicode_FromStringAndSize
     0.07%             3  python       python3.10                             [.] long_to_decimal_string
     0.07%             3  python       libc.so.6                              [.] _int_realloc
     0.07%             3  python       python3.10                             [.] rangeiter_next
     0.07%             4  python       python3.10                             [.] get_latin1_char
     0.07%             3  python       python3.10                             [.] _PyDict_NewPresized
     0.07%             3  python       python3.10                             [.] cfunction_vectorcall_FASTCALL
     0.07%             3  python       python3.10                             [.] 0x000000000005ac24
     0.07%             3  python       python3.10                             [.] PySequence_Fast
     0.07%             3  python       python3.10                             [.] PyUnicode_Join
     0.07%             3  python       python3.10                             [.] PyCode_Addr2Line
     0.06%             3  python       ld-linux-x86-64.so.2                   [.] strcmp
     0.06%             3  python       python3.10                             [.] long_richcompare
     0.06%             3  python3      python3.10                             [.] _PyEval_EvalFrameDefault
     0.06%             3  python       python3.10                             [.] long_bitwise
     0.05%             3  python       python3.10                             [.] find_empty_slot
     0.05%             3  python       python3.10                             [.] PyObject_SetAttr
     0.05%             2  python       python3.10                             [.] PyDescr_IsData
     0.05%             2  python       python3.10                             [.] _PyAccu_Init
     0.05%             2  python       python3.10                             [.] object_get_class
     0.05%             2  python       python3.10                             [.] Py_LeaveRecursiveCall
     0.05%             2  python       python3.10                             [.] PyMem_Malloc
     0.05%             2  python       _json.cpython-310-x86_64-linux-gnu.so  [.] encoder_call
     0.05%             2  python       python3.10                             [.] PyObject_GetIter
     0.05%             2  python       python3.10                             [.] builtin_isinstance
     0.05%             2  python       python3.10                             [.] float_dealloc
     0.05%             2  python       python3.10                             [.] _PyObject_GC_Malloc
     0.05%             3  python       python3.10                             [.] ascii_decode
     0.05%             2  python       python3.10                             [.] PyTuple_Size
     0.05%             2  python       python3.10                             [.] PyMem_Realloc
     0.05%             2  python       python3.10                             [.] _PyPegen_Parser_Free
     0.05%             2  python       python3.10                             [.] allocate_from_new_pool
     0.05%             2  python       python3.10                             [.] PyBool_FromLong
     0.05%             2  python       python3.10                             [.] _PyUnicodeWriter_WriteASCIIString
     0.04%             2  python       python3.10                             [.] assemble
     0.04%             2  python       python3.10                             [.] PyArg_UnpackTuple
     0.04%             2  python       python3.10                             [.] list_subscript
     0.04%             2  python       python3.10                             [.] method_get
     0.04%             2  python       python3.10                             [.] unicode_hash
     0.04%             2  python       python3.10                             [.] slot_mp_subscript
     0.04%             2  python       libc.so.6                              [.] __strlen_avx2_rtm
     0.04%             2  python       python3.10                             [.] PyObject_Call
     0.04%             2  python       python3.10                             [.] long_add
     0.04%             2  python       python3.10                             [.] _PyPegen_is_memoized
     0.04%             2  python       python3.10                             [.] _PyEval_SliceIndex
     0.04%             2  python       python3.10                             [.] _copy_characters.part.0.constprop.0.isra.0
     0.04%             2  python       python3.10                             [.] subtype_dealloc
     0.04%             2  python       python3.10                             [.] method_vectorcall_FASTCALL
     0.04%             2  python       python3.10                             [.] dict_merge
     0.04%             2  python       libc.so.6                              [.] __memcmp_avx2_movbe_rtm
     0.04%             2  python       python3.10                             [.] _PyUnicodeWriter_PrepareInternal
     0.04%             2  python       libc.so.6                              [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.04%             2  python       python3.10                             [.] min_max
